Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,2016-03-26,13,16,17,16,15,15,15,14,15,11,8,8,9,8,6,7,7,8,9,8,9,9,9,10
31103,Fine Particulate Matter,2016-03-27,10,14,13,10,8,7,8,8,9,9,9,9,10,10,10,11,12,13,17,17,14,13,12,13
31103,Fine Particulate Matter,2016-03-28,13,13,12,11,11,11,13,9,11,10,5,5,4,3,3,4,5,6,7,6,6,5,4,4
31103,Fine Particulate Matter,2016-03-29,4,5,5,5,5,6,6,6,5,4,4,3,3,3,3,2,3,5,6,6,6,6,7,6
31103,Fine Particulate Matter,2016-03-30,5,6,7,8,7,8,10,11,10,8,7,7,6,9,9,10,9,7,6,7,7,7,7,7
31103,Fine Particulate Matter,2016-03-31,9,8,6,2,2,6,8,5,6,7,9,9,9,9,8,9,7,6,5,5,5,5,4,4
31103,Fine Particulate Matter,2016-04-01,6,7,6,7,8,7,6,7,8,9,7,6,5,4,4,4,3,4,4,4,4,4,4,4
31103,Fine Particulate Matter,2016-04-02,6,10,12,10,8,3,3,3,3,4,4,3,3,4,4,4,3,4,5,4,4,3,3,3
31103,Fine Particulate Matter,2016-04-03,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,5,5,4,4,4
31103,Fine Particulate Matter,2016-04-04,3,3,3,3,3,3,4,4,4,5,5,6,5,4,4,4,4,5,5,6,5,5,5,4
31103,Fine Particulate Matter,2016-04-05,5,5,5,5,6,6,7,6,4,3,3,3,4,4,4,4,5,4,5,5,6,6,6,6
31103,Fine Particulate Matter,2016-04-06,5,6,5,5,5,5,5,6,7,8,8,7,7,6,7,7,9,11,11,11,12,12,12,5
31103,Fine Particulate Matter,2016-04-07,1,3,4,6,8,8,6,4,4,5,7,6,6,5,6,6,5,5,6,7,7,7,5,4
31103,Fine Particulate Matter,2016-04-08,4,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,4,4,5,5,5,5,4,4
31103,Fine Particulate Matter,2016-04-09,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,4,5,5,6,6,5,5,5
31103,Fine Particulate Matter,2016-04-10,6,7,7,6,6,6,6,6,5,6,6,7,6,6,5,5,5,6,6,8,7,5,4,5
31103,Fine Particulate Matter,2016-04-11,5,5,5,5,6,7,6,4,7,10,8,9,7,5,5,7,12,13,12,15,16,10,7,7
31103,Fine Particulate Matter,2016-04-12,7,7,8,9,9,8,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5
31103,Fine Particulate Matter,2016-04-13,6,7,7,6,7,7,7,6,5,5,9999,9999,9999,9999,2,3,2,2,2,3,3,5,5,6
31103,Fine Particulate Matter,2016-04-14,5,7,7,8,8,9,9,9,5,5,6,6,6,6,5,5,5,5,5,6,6,6,5,4
31103,Fine Particulate Matter,2016-04-15,5,6,6,7,8,8,8,7,7,8,9,8,8,6,7,6,5,5,5,5,5,4,4,4
